sentiment,type,link
depressed,music,https://open.spotify.com/playlist/37i9dQZF1DX3rxVfibe1L0
depressed,article,https://www.helpguide.org/articles/depression/coping-with-depression.htm
depressed,exercise,https://www.youtube.com/watch?v=W19PdslW7iw
anxious,music,https://open.spotify.com/playlist/37i9dQZF1DXa2PsvJSPnPf
anxious,article,https://www.verywellmind.com/how-to-reduce-anxiety-right-now-2584184
anxious,exercise,https://www.youtube.com/watch?v=OQ6NfFIr2jw
hopeless,music,https://open.spotify.com/playlist/37i9dQZF1DX4E3UdUs7fUx
hopeless,article,https://jedfoundation.org/resource/how-to-stop-feeling-hopeless/
hopeless,exercise,https://www.youtube.com/watch?v=VlDgowUAyx4
lonely,music,https://open.spotify.com/playlist/37i9dQZF1DWXLeA8Omikj7
lonely,article,https://www.healthline.com/health/how-to-deal-with-loneliness
lonely,exercise,https://www.youtube.com/watch?v=n3Xv_g3g-mA
neutral,music,https://open.spotify.com/playlist/37i9dQZF1DX4E3UdUs7fUx
neutral,article,https://en.wikipedia.org/wiki/Meditation
neutral,exercise,https://www.youtube.com/watch?v=aEqlQvczMJQ
encouraged,music,https://open.spotify.com/playlist/37i9dQZF1DX50QitC6Oqtn
encouraged,article,https://www.psychologytoday.com/intl/blog/light-and-shadow/201311/the-quiet-power-of-encouragement
encouraged,exercise,https://www.youtube.com/watch?v=zDgwtVvB7Dg
